,Company Name,Datum,Status Rocket,Costs (Mio. USD),Status Mission,Site,Country,Rocket,Satellite
1024,ISRO,"Fri Oct 17, 2003 04:52 UTC",StatusRetired,25.0 ,Success,"['First Launch Pad, Satish Dhawan Space Centre']",[' India'],['PSLV-G'],['RESOURCESAT-1 (IRS-P6)']
1025,CASC,"Wed Oct 15, 2003 01:00 UTC",StatusActive,,Success,"['Site 901 (SLS-1), Jiuquan Satellite Launch Center']",[' China'],['Long March 2F'],['Shenzhou 5']
1026,Sea Launch,"Wed Oct 01, 2003 04:02 UTC",StatusActive,,Success,"['LP Odyssey, Kiritimati Launch Area']",[' Pacific Ocean'],['Zenit-3 SL'],['Galaxy-13']
1027,Arianespace,"Sat Sep 27, 2003 23:14 UTC",StatusRetired,,Success,"['ELA-3, Guiana Space Centre, French Guiana']",[' France'],['Ariane 5 G'],"['Insat 3E, eBird-1, SMART-1']"
1028,VKS RF,"Sat Sep 27, 2003 06:11 UTC",StatusRetired,,Success,"['Site 132/1, Plesetsk Cosmodrome']",[' Russia'],['Cosmos-3M (11K65M)'],['STSAT 1 & Others']
1029,CASIC,"Tue Sep 16, 2003",StatusRetired,,Failure,['Taiyuan Satellite Launch Center'],[' China'],['Kaituozhe 1'],['PS 2']
1030,Lockheed,"Tue Sep 09, 2003 04:29 UTC",StatusRetired,,Success,"['SLC-40, Cape Canaveral AFS, Florida']",[' USA'],['Titan IV(401)B'],['NROL-19 (Mentor)']
1031,Boeing,"Fri Aug 29, 2003 23:13 UTC",StatusRetired,133.0 ,Success,"['SLC-37B, Cape Canaveral AFS, Florida']",[' USA'],['Delta IV Medium'],['DSCS-3 B6']
1032,AEB,"Mon Aug 25, 2003",StatusActive,,Prelaunch Failure,"['VLS Pad, Alc?›ntara Launch Center, Maranh?œo']",[' Brazil'],['VLS-1'],"['SATEC, UNOSAT']"
1033,Boeing,"Mon Aug 25, 2003 05:35 UTC",StatusRetired,,Success,"['SLC-17B, Cape Canaveral AFS, Florida']",[' USA'],['Delta II 7920H'],['Spitzer Space Telescope']
1034,VKS RF,"Tue Aug 19, 2003 10:50 UTC",StatusRetired,,Success,"['Site 132/1, Plesetsk Cosmodrome']",[' Russia'],['Cosmos-3M (11K65M)'],['Cosmos 2400 and 2401']
1035,Northrop,"Wed Aug 13, 2003 02:09 UTC",StatusActive,40.0 ,Success,"['Stargazer, Vandenberg AFB, California']",[' USA'],['Pegasus XL'],['SCISAT-1']
1036,Sea Launch,"Fri Aug 08, 2003",StatusActive,,Success,"['LP Odyssey, Kiritimati Launch Area']",[' Pacific Ocean'],['Zenit-3 SL'],['EchoStar 9']
1037,ILS,"Thu Jul 17, 2003 23:45 UTC",StatusActive,135.0 ,Success,"['SLC-41, Cape Canaveral AFS, Florida']",[' USA'],['Atlas V 521'],['Rainbow 1']
1038,Boeing,"Tue Jul 08, 2003 03:18 UTC",StatusRetired,,Success,"['SLC-17B, Cape Canaveral AFS, Florida']",[' USA'],['Delta II 7925H'],['Opportunity']
1039,Eurockot,"Mon Jun 30, 2003 14:15 UTC",StatusRetired,41.8 ,Success,"['Site 133/3, Plesetsk Cosmodrome']",[' Russia'],['Rokot/Briz KM'],['Monitor-E GVM & Others']
1040,Northrop,"Thu Jun 26, 2003 18:55 UTC",StatusActive,40.0 ,Success,"['Stargazer, Vandenberg AFB, California']",[' USA'],['Pegasus XL'],['OrbView-3']
1041,VKS RF,"Thu Jun 19, 2003 20:00 UTC",StatusRetired,,Success,"['Site 16/2, Plesetsk Cosmodrome']",[' Russia'],['Molniya-M /Block ML'],['Molniya-3 n†\xad173']
1042,Arianespace,"Wed Jun 11, 2003 22:38 UTC",StatusRetired,,Success,"['ELA-3, Guiana Space Centre, French Guiana']",[' France'],['Ariane 5 G'],['Optus C1 & BSAT-2c']
1043,Boeing,"Tue Jun 10, 2003 17:58 UTC",StatusRetired,,Success,"['SLC-17A, Cape Canaveral AFS, Florida']",[' USA'],['Delta II 7925'],['Spirit']
1044,Sea Launch,"Tue Jun 10, 2003 13:55 UTC",StatusActive,,Success,"['LP Odyssey, Kiritimati Launch Area']",[' Pacific Ocean'],['Zenit-3 SL'],['Thuraya-2']
1045,VKS RF,"Wed Jun 04, 2003 19:23 UTC",StatusRetired,,Success,"['Site 132/1, Plesetsk Cosmodrome']",[' Russia'],['Cosmos-3M (11K65M)'],['Cosmos 2398']
1046,Starsem,"Mon Jun 02, 2003 17:45 UTC",StatusRetired,,Success,"['Site 31/6, Baikonur Cosmodrome']",[' Kazakhstan'],['Soyuz FG/Fregat'],['Mars Express']
1047,CASC,"Sat May 24, 2003 16:34 UTC",StatusActive,69.7 ,Success,"['LC-2, Xichang Satellite Launch Center']",[' China'],['Long March 3A'],['Beidou-1C']
1048,ILS,"Tue May 13, 2003 22:10 UTC",StatusActive,109.0 ,Success,"['SLC-41, Cape Canaveral AFS, Florida']",[' USA'],['Atlas V 401'],['HellasSat-2']
1049,ISAS,"Fri May 09, 2003 04:29 UTC",StatusRetired,,Success,"['Mu Pad, Uchinoura Space Center']",[' Japan'],['Mu-V / M-25'],['Hayabusa']
1050,ISRO,"Thu May 08, 2003 11:28 UTC",StatusRetired,47.0 ,Success,"['First Launch Pad, Satish Dhawan Space Centre']",[' India'],['GSLV Mk I'],['GSAT-2']
1051,Northrop,"Mon Apr 28, 2003 12:00 UTC",StatusActive,40.0 ,Success,"['Stargazer, Cape Canaveral AFS, Florida']",[' USA'],['Pegasus XL'],['GALEX']
1052,ILS,"Sat Apr 12, 2003 00:47 UTC",StatusRetired,,Success,"['SLC-36B, Cape Canaveral AFS, Florida']",[' USA'],['Atlas IIIB'],['AsiaSat 4']
1053,Arianespace,"Wed Apr 09, 2003 22:52 UTC",StatusRetired,,Success,"['ELA-3, Guiana Space Centre, French Guiana']",[' France'],['Ariane 5 G'],['INSAT-3A & Galaxy 12']
1054,Lockheed,"Tue Apr 08, 2003 13:43 UTC",StatusRetired,,Success,"['SLC-40, Cape Canaveral AFS, Florida']",[' USA'],['Titan IV(401)B'],['Milstar DFS-6']
1055,VKS RF,"Wed Apr 02, 2003 01:53 UTC",StatusRetired,,Success,"['Site 16/2, Plesetsk Cosmodrome']",[' Russia'],['Molniya-M /Block ML'],['Molniya-1T n†\xad172']
1056,Boeing,"Mon Mar 31, 2003 22:09 UTC",StatusRetired,,Success,"['SLC-17A, Cape Canaveral AFS, Florida']",[' USA'],['Delta II 7925'],['GPS IIR-9']
1057,MHI,"Fri Mar 28, 2003 01:27 UTC",StatusRetired,,Success,"['LA-Y1, Tanegashima Space Center']",[' Japan'],['H-IIA 2024'],"['IGS-Optical 1, IGS-Radar 1']"
1058,Boeing,"Tue Mar 11, 2003 00:59 UTC",StatusRetired,133.0 ,Success,"['SLC-37B, Cape Canaveral AFS, Florida']",[' USA'],['Delta IV Medium'],['DSCS-3 A3']
1059,Arianespace,"Sat Feb 15, 2003 07:00 UTC",StatusRetired,,Success,"['ELA-2, Guiana Space Centre, French Guiana']",[' France'],['Ariane 44L'],['Intelsat 907']
1060,Boeing,"Wed Jan 29, 2003 18:06 UTC",StatusRetired,,Success,"['SLC-17B, Cape Canaveral AFS, Florida']",[' USA'],['Delta II 7925'],['GPS IIR-8']
1061,Northrop,"Sat Jan 25, 2003 20:13 UTC",StatusActive,40.0 ,Success,"['Stargazer, Cape Canaveral AFS, Florida']",[' USA'],['Pegasus XL'],['SORCE']
1062,NASA,"Thu Jan 16, 2003 15:39 UTC",StatusRetired,450.0 ,Failure,"['LC-39A, Kennedy Space Center, Florida']",[' USA'],['Space Shuttle Columbia'],['STS-107']
1063,Boeing,"Mon Jan 13, 2003 00:45 UTC",StatusRetired,,Success,"['SLC-2W, Vandenberg AFB, California']",[' USA'],['Delta II 7320-10C'],['ICESat / CHIPSat']
1064,Lockheed,"Mon Jan 06, 2003 14:19 UTC",StatusRetired,35.0 ,Success,"['SLC-4W, Vandenberg AFB, California']",[' USA'],['Titan II(23)G'],['Coriolis']
1065,CASC,"Sun Dec 29, 2002 16:40 UTC",StatusActive,,Success,"['Site 901 (SLS-1), Jiuquan Satellite Launch Center']",[' China'],['Long March 2F'],['Shenzhou 4']
1066,VKS RF,"Tue Dec 24, 2002 12:20 UTC",StatusRetired,,Success,"['Site 16/2, Plesetsk Cosmodrome']",[' Russia'],['Molniya-M /Block 2BL'],['Cosmos 2393']
1067,Kosmotras,"Fri Dec 20, 2002",StatusRetired,29.0 ,Success,"['Site 109/95, Baikonur Cosmodrome']",[' Kazakhstan'],['Dnepr'],['Rubin 2 & Others']
1068,Arianespace,"Tue Dec 17, 2002 23:04 UTC",StatusRetired,,Success,"['ELA-2, Guiana Space Centre, French Guiana']",[' France'],['Ariane 44L'],['NSS-6']
1069,MHI,"Sat Dec 14, 2002 01:31 UTC",StatusActive,90.0 ,Success,"['LA-Y1, Tanegashima Space Center']",[' Japan'],['H-IIA 202'],"['Midori 2, WEOS & Others']"
1070,Arianespace,"Wed Dec 11, 2002 22:22 UTC",StatusActive,200.0 ,Failure,"['ELA-3, Guiana Space Centre, French Guiana']",[' France'],['Ariane 5 ECA'],"['Hot Bird 7, Stentor, MFD-A, MFD-B']"
1071,Lockheed,"Thu Dec 05, 2002 02:42 UTC",StatusRetired,,Success,"['SLC-36A, Cape Canaveral AFS, Florida']",[' USA'],['Atlas IIA'],['TDRS-J']
1072,VKS RF,"Thu Nov 28, 2002 06:07 UTC",StatusRetired,,Success,"['Site 132/1, Plesetsk Cosmodrome']",[' Russia'],['Cosmos-3M (11K65M)'],"['AlSat 1, Mozhayets 4 & Rubin 3-DSI']"
1073,NASA,"Sun Nov 24, 2002 00:49 UTC",StatusRetired,450.0 ,Success,"['LC-39A, Kennedy Space Center, Florida']",[' USA'],['Space Shuttle Endeavour'],['STS-113']
1074,Boeing,"Wed Nov 20, 2002 22:39 UTC",StatusRetired,164.0 ,Success,"['SLC-37B, Cape Canaveral AFS, Florida']",[' USA'],"['Delta IV Medium+ (4,2)']",['Eutelsat W5']
1075,CASC,"Sun Oct 27, 2002 03:17 UTC",StatusActive,64.68 ,Success,"['LC-7, Taiyuan Satellite Launch Center']",[' China'],['Long March 4B'],['Ziyuan ll-02']
1076,NASA,"Mon Oct 07, 2002 19:45 UTC",StatusRetired,450.0 ,Success,"['LC-39B, Kennedy Space Center, Florida']",[' USA'],['Space Shuttle Atlantis'],['STS-112']
1077,VKS RF,"Thu Sep 26, 2002 14:27 UTC",StatusRetired,,Success,"['Site 132/1, Plesetsk Cosmodrome']",[' Russia'],['Cosmos-3M (11K65M)'],['Nadiezhda-M n†\xad1']
1078,ILS,"Wed Sep 18, 2002 22:04 UTC",StatusRetired,,Success,"['SLC-36A, Cape Canaveral AFS, Florida']",[' USA'],['Atlas IIAS'],['Hispasat 1D']
1079,CASIC,"Sun Sep 15, 2002",StatusRetired,,Failure,['Taiyuan Satellite Launch Center'],[' China'],['Kaituozhe 1'],['PS 1']
1080,ISRO,"Thu Sep 12, 2002 10:23 UTC",StatusRetired,25.0 ,Success,"['First Launch Pad, Satish Dhawan Space Centre']",[' India'],['PSLV-G'],['C4 - MetSat-1 (Kalpana-1)']
1081,MHI,"Tue Sep 10, 2002 08:20 UTC",StatusRetired,,Success,"['LA-Y1, Tanegashima Space Center']",[' Japan'],['H-IIA 2024'],['USERS & Kodama']
1082,Arianespace,"Fri Sep 06, 2002 06:44 UTC",StatusRetired,,Success,"['ELA-2, Guiana Space Centre, French Guiana']",[' France'],['Ariane 44L'],['Intelsat 906']
1083,Arianespace,"Wed Aug 28, 2002 22:45 UTC",StatusRetired,,Success,"['ELA-3, Guiana Space Centre, French Guiana']",[' France'],['Ariane 5 G'],"['Atlantic Bird 1, MSG-1, MFD']"
1084,ILS,"Wed Aug 21, 2002 22:05 UTC",StatusActive,109.0 ,Success,"['SLC-41, Cape Canaveral AFS, Florida']",[' USA'],['Atlas V 401'],['Hot Bird 6']
1085,VKS RF,"Mon Jul 08, 2002 06:35 UTC",StatusRetired,,Success,"['Site 132/1, Plesetsk Cosmodrome']",[' Russia'],['Cosmos-3M (11K65M)'],['Cosmos 2390 and 2391']
1086,Arianespace,"Fri Jul 05, 2002 23:02 UTC",StatusRetired,,Success,"['ELA-2, Guiana Space Centre, French Guiana']",[' France'],['Ariane 42P'],"['SPOT-5, IDEFIX']"
1087,Boeing,"Wed Jul 03, 2002 06:47 UTC",StatusRetired,,Success,"['SLC-17A, Cape Canaveral AFS, Florida']",[' USA'],['Delta II 7425'],['CONTOUR']
1088,Arianespace,"Tue Jul 02, 2002 23:22 UTC",StatusRetired,,Success,"['ELA-3, Guiana Space Centre, French Guiana']",[' France'],['Ariane 5 G'],['Stellat-5 & NStar-C']
1089,Lockheed,"Mon Jun 24, 2002 18:23 UTC",StatusRetired,35.0 ,Success,"['SLC-4W, Vandenberg AFB, California']",[' USA'],['Titan II(23)G'],['NOAA-17']
1090,Eurockot,"Thu Jun 20, 2002 09:33 UTC",StatusRetired,41.8 ,Success,"['Site 133/3, Plesetsk Cosmodrome']",[' Russia'],['Rokot/Briz KM'],['Iridium SV97 and SV98']
1091,Sea Launch,"Sat Jun 15, 2002 22:39 UTC",StatusActive,,Success,"['LP Odyssey, Kiritimati Launch Area']",[' Pacific Ocean'],['Zenit-3 SL'],['Galaxy IIIC']
1092,NASA,"Wed Jun 05, 2002 21:22 UTC",StatusRetired,450.0 ,Success,"['LC-39A, Kennedy Space Center, Florida']",[' USA'],['Space Shuttle Endeavour'],['STS-111']
1093,Arianespace,"Wed Jun 05, 2002 06:44 UTC",StatusRetired,,Success,"['ELA-2, Guiana Space Centre, French Guiana']",[' France'],['Ariane 44L'],['Intelsat 905']
1094,IAI,"Tue May 28, 2002",StatusRetired,,Success,"['Pad 1, Palmachim Airbase']",[' Israel'],['Shavit-1'],['Ofek-5']
1095,VKS RF,"Tue May 28, 2002 08:14 UTC",StatusRetired,,Success,"['Site 132/1, Plesetsk Cosmodrome']",[' Russia'],['Cosmos-3M (11K65M)'],['Cosmos 2389']
1096,CASC,"Wed May 15, 2002 01:50 UTC",StatusActive,64.68 ,Success,"['LC-7, Taiyuan Satellite Launch Center']",[' China'],['Long March 4B'],['Fengyun-1D & Haiyang-1A']
1097,Boeing,"Sat May 04, 2002 09:54 UTC",StatusRetired,,Success,"['SLC-2W, Vandenberg AFB, California']",[' USA'],['Delta II 7920-10C'],['Aqua']
1098,Arianespace,"Tue Apr 16, 2002 23:02 UTC",StatusRetired,,Success,"['ELA-2, Guiana Space Centre, French Guiana']",[' France'],['Ariane 44L'],['NSS-7']
1099,NASA,"Mon Apr 08, 2002 20:44 UTC",StatusRetired,450.0 ,Success,"['LC-39B, Kennedy Space Center, Florida']",[' USA'],['Space Shuttle Atlantis'],['STS-110']
1100,VKS RF,"Mon Apr 01, 2002 22:06 UTC",StatusRetired,,Success,"['Site 16/2, Plesetsk Cosmodrome']",[' Russia'],['Molniya-M /Block 2BL'],['Cosmos 2388']
1101,Arianespace,"Fri Mar 29, 2002 01:29 UTC",StatusRetired,,Success,"['ELA-2, Guiana Space Centre, French Guiana']",[' France'],['Ariane 44L'],"['Astra 3A, JCSAT-8']"
1102,CASC,"Mon Mar 25, 2002 14:15 UTC",StatusActive,,Success,"['Site 901 (SLS-1), Jiuquan Satellite Launch Center']",[' China'],['Long March 2F'],['Shenzhou 3']
1103,Eurockot,"Sun Mar 17, 2002 09:21 UTC",StatusRetired,41.8 ,Success,"['Site 133/3, Plesetsk Cosmodrome']",[' Russia'],['Rokot/Briz KM'],['GRACE 1 & 2']
1104,Lockheed,"Fri Mar 08, 2002 22:59 UTC",StatusRetired,,Success,"['SLC-36A, Cape Canaveral AFS, Florida']",[' USA'],['Atlas IIA'],['TDRS-I']
1105,NASA,"Fri Mar 01, 2002 11:22 UTC",StatusRetired,450.0 ,Success,"['LC-39A, Kennedy Space Center, Florida']",[' USA'],['Space Shuttle Columbia'],['STS-109']
1106,Arianespace,"Fri Mar 01, 2002 01:07 UTC",StatusRetired,,Success,"['ELA-3, Guiana Space Centre, French Guiana']",[' France'],['Ariane 5 G'],['Envisat']
1107,Arianespace,"Sat Feb 23, 2002 06:59 UTC",StatusRetired,,Success,"['ELA-2, Guiana Space Centre, French Guiana']",[' France'],['Ariane 44L'],['Intelsat 904']
1108,ILS,"Thu Feb 21, 2002 12:43 UTC",StatusRetired,,Success,"['SLC-36B, Cape Canaveral AFS, Florida']",[' USA'],['Atlas IIIB'],['EchoStar VII']
1109,Boeing,"Mon Feb 11, 2002 17:43 UTC",StatusRetired,,Success,"['SLC-2W, Vandenberg AFB, California']",[' USA'],['Delta II 7920-10C'],['Iridium IS-1']
1110,Northrop,"Tue Feb 05, 2002 20:58 UTC",StatusActive,40.0 ,Success,"['Stargazer, Cape Canaveral AFS, Florida']",[' USA'],['Pegasus XL'],['RHESSI']
1111,MHI,"Mon Feb 04, 2002 02:45 UTC",StatusRetired,,Success,"['LA-Y1, Tanegashima Space Center']",[' Japan'],['H-IIA 2024'],"['VEP 3, Tsubasa & DASH']"
